epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.845,0.5493,2.81431,1.30436,0.30383,0.5221,0.34384,0.2565,0.70947,6.04051,1.348,0.0673438,0.000329861,0.000329861
2,746.521,0.53455,2.1798,1.26387,0.77563,0.33382,0.52928,0.43637,0.61802,2.92508,1.21423,0.0343383,0.000657723,0.000657723
3,1176.57,0.49806,2.03373,1.23268,0.34511,0.58097,0.53339,0.35249,1.03257,2.9432,1.56492,0.00132731,0.000980085,0.000980085
4,1517.94,0.48277,1.93317,1.22543,0.66041,0.52273,0.57475,0.45557,0.58646,1.94769,1.18448,0.00097525,0.00097525,0.00097525
5,1858.28,0.49118,1.8444,1.22321,0.41504,0.59687,0.57758,0.44631,0.70287,1.87702,1.2975,0.000967,0.000967,0.000967
6,2159.44,0.48548,1.7164,1.23245,0.43014,0.64785,0.61661,0.51414,0.6162,1.81971,1.18484,0.00095875,0.00095875,0.00095875
7,2499.17,0.46184,1.63118,1.20442,0.7227,0.65568,0.72997,0.63646,0.57616,1.27658,1.14171,0.0009505,0.0009505,0.0009505
8,2852.31,0.4413,1.59562,1.19924,0.47762,0.6875,0.65476,0.57354,0.50175,1.6585,1.06978,0.00094225,0.00094225,0.00094225
9,3158.67,0.45253,1.56553,1.20868,0.74084,0.63442,0.7635,0.64922,0.52548,1.3916,1.10661,0.000934,0.000934,0.000934
10,3628.53,0.41917,1.51919,1.19111,0.63886,0.7588,0.78071,0.65434,0.64086,1.31278,1.15279,0.00092575,0.00092575,0.00092575
11,4013.51,0.43927,1.49434,1.20174,0.69071,0.71706,0.80451,0.70263,0.51673,1.22759,1.03976,0.0009175,0.0009175,0.0009175
12,4349.15,0.42606,1.39613,1.19353,0.73175,0.78465,0.84869,0.67273,0.618,1.29266,1.08918,0.00090925,0.00090925,0.00090925
13,4710.21,0.4202,1.326,1.18301,0.68644,0.76084,0.79608,0.69281,0.52016,1.187,1.06956,0.000901,0.000901,0.000901
14,5054.13,0.41203,1.29355,1.17566,0.81696,0.80425,0.87457,0.76189,0.52425,0.97457,1.06007,0.00089275,0.00089275,0.00089275
15,5369.26,0.40422,1.25358,1.17669,0.72374,0.78678,0.8471,0.74899,0.49623,1.03958,1.03526,0.0008845,0.0008845,0.0008845
16,5759.53,0.41538,1.217,1.17521,0.788,0.81169,0.88933,0.78797,0.49279,0.91126,1.03294,0.00087625,0.00087625,0.00087625
17,6183.78,0.37287,1.23079,1.15222,0.79957,0.81646,0.87815,0.77691,0.49713,0.9414,1.00691,0.000868,0.000868,0.000868
18,6608.02,0.39,1.16516,1.16849,0.81434,0.83083,0.90368,0.77422,0.52133,0.84153,1.03479,0.00085975,0.00085975,0.00085975
19,7033.88,0.38486,1.20048,1.159,0.71919,0.76756,0.83646,0.73369,0.52624,1.02469,1.05208,0.0008515,0.0008515,0.0008515
20,7476.02,0.38517,1.2004,1.16103,0.85627,0.78116,0.87907,0.77719,0.47662,0.81406,0.97584,0.00084325,0.00084325,0.00084325
21,7879.23,0.3733,1.13798,1.16456,0.75278,0.83571,0.89899,0.80532,0.43267,0.91691,0.93875,0.000835,0.000835,0.000835
22,8184.66,0.37915,1.09362,1.16221,0.85936,0.84535,0.91933,0.81111,0.49865,0.72795,1.00705,0.00082675,0.00082675,0.00082675
23,8501.51,0.37915,1.08385,1.15481,0.82465,0.86642,0.92529,0.82296,0.49933,0.76888,1.04795,0.0008185,0.0008185,0.0008185
24,407.938,0.43689,2.64416,1.40795,0.81751,0.8246,0.89536,0.79395,0.48682,0.89698,0.99967,0.00081025,0.00081025,0.00081025
25,815.134,0.42075,1.07413,1.23618,0.85889,0.79945,0.88847,0.72901,0.61363,0.91303,1.083,0.000802,0.000802,0.000802
26,1170.67,0.39339,1.0347,1.2447,0.89055,0.80455,0.91554,0.80759,0.51325,0.74416,1.03605,0.00079375,0.00079375,0.00079375
27,1626.51,0.37325,1.01442,1.15196,0.8825,0.8903,0.93443,0.81985,0.52292,0.67142,1.05523,0.0007855,0.0007855,0.0007855
28,2066.4,0.37144,1.01297,1.14104,0.87181,0.79503,0.92009,0.83605,0.44929,0.8418,0.99936,0.00077725,0.00077725,0.00077725
29,2399.84,0.37504,0.9775,1.15638,0.79974,0.86192,0.90405,0.79985,0.50589,0.81736,1.04367,0.000769,0.000769,0.000769
30,2716.03,0.36275,0.95721,1.14308,0.88613,0.81847,0.90811,0.81659,0.45373,0.68828,0.98549,0.00076075,0.00076075,0.00076075
31,3028.9,0.35441,0.95239,1.13832,0.89253,0.79908,0.91619,0.79746,0.54729,0.76043,1.04106,0.0007525,0.0007525,0.0007525
32,3350.13,0.36667,0.95772,1.14814,0.89096,0.8785,0.94847,0.8539,0.48492,0.56479,0.97395,0.00074425,0.00074425,0.00074425
33,3663.86,0.35118,0.88884,1.14161,0.89544,0.87812,0.9394,0.83861,0.47946,0.63317,0.99146,0.000736,0.000736,0.000736
34,4005.96,0.36295,0.90794,1.14568,0.88114,0.846,0.92916,0.82149,0.52926,0.67678,1.02959,0.00072775,0.00072775,0.00072775
35,316.206,0.3478,0.93298,1.15369,0.92704,0.87464,0.94806,0.85832,0.48184,0.56098,0.98853,0.0007195,0.0007195,0.0007195
36,668.303,0.38168,0.85354,1.25526,0.91318,0.85726,0.94063,0.83539,0.47992,0.60324,0.95578,0.00071125,0.00071125,0.00071125
37,973.089,0.34438,0.82417,1.18702,0.91829,0.87075,0.93519,0.86066,0.39593,0.56922,0.89364,0.000703,0.000703,0.000703
38,1299.18,0.35265,0.81672,1.21502,0.82956,0.84974,0.90082,0.82114,0.44851,0.69916,0.93974,0.00069475,0.00069475,0.00069475
